source,target,weight
government,fund,1
carry,free,1
regular,smear,7
I,scare,3
learn,fact,1
man,lower,6
sex,thing,4
problem,make,1
book,today,3
find,increase,1
show,aid,2
clinic,call,3
recommendation,cervical,3
sense,HPV,2
check,breast,6
issue,health,2
beautiful,woman,2
screen,India,8
week,link,1
fight,cancer,6
vaccine,it,37
HPV,find,27
HPV,question,6
push,girl,8
awareness,people,2
government,change,2
rate,catch,1
blog,oral,2
deal,Merck,1
link,fall,1
prevent,kid,1
Rwanda,vaccinate,1
your,school,1
woman,save,3
make,appointment,14
kill,visit,1
survivor,HPV,1
Prevention,sexually,1
age,shot,1
question,win,5
find,link,6
cancer,nurse,1
smear,recommend,1
CDC,woman,4
crystal,castle,1
week,lady,3
anal,oral,6
boy,vaccinate,1
forget,HPV,1
play,catch,2
daughter,protect,2
today,nurse,1
test,number,2
man,prevent,5
virus,MT,1
appointment,lady,1
group,lower,1
celebrate,son,1
ready,pap_smear,5
detection,oral,2
doctor,human,1
campaign,early,1
screen,early,15
cancer,partner,1
thing,vaccine,2
cause,oral,12
test,take,2
warts,herpes,2
shot,call,1
teens,infection,9
man,feel,2
cancer,event,1
STD,clinic,1
clinic,birth,1
fight,HPV_vaccine,5
Christmas,son,1
infection,female,1
write,blog,2
HPV,low,28
school,tomorrow,4
celebrity,retweet,1
raise,young,2
daughter,visit,1
study,link,18
guess,start,2
blood,detect,23
Gardasil,child,4
boy,young,19
funny,HPV,1
mother,cervical,1
FDA,result,2
HPV_vaccine,boy,85
lot,awkward,1
follow,exam,1
hope,prevent,1
Prevention,research,3
read,blog,26
cervical_cancer,check,37
UK,protect,9
pap,screen,15
test,throat,2
smear,guess,1
medicine,boy,1
learn,common,4
foundation,early,2
health,treat,1
shot,help,1
oral,sex,10
Douglas,article,1
Life,touch,1
Obama,cancer,1
country,fund,3
turn,girl,7
kid,wait,1
win,turn,1
video,cervical_cancer,12
test,smear,15
HPV,January,4
study,free,5
suggest,science,1
Douglas,tell,1
HPV,herpes,38
awareness,retweet,2
medical,surgery,3
girl,school,16
Bachmann,CDC,1
cancer,India,6
news,India,3
jab,school,2
receive,vaccine,15
girl,Friday,3
awareness,campaign,9
condom,game,2
teens,vaccine,74
prevent,infection,10
jab,woman,1
find,test,2
vaccine,student,2
shot,round,1
woman,science,2
HPV,start,4
case,government,1
young,daughter,2
vaccine,video,2
girl,big,4
hope,Michael,1
woman,public,4
AIDS,program,1
vaxfax,health,1
science,control,1
effect,urge,2
benefit,HPV,5
reduce,cost,2
science,sister,1
share,world,3
HPV,cover,1
scare,cervical,1
I,think,1
work,shot,1
develop,genital,2
food,high,1
year,national,2
