source,target,weight
they,who,17
word,those,3
here,I,60
xx,group,2
UK,jab,2
post,always,2
spread,girl,10
else,cervical_cancer,16
make,make,11
look,up,27
cervix,cervix,7
great,Gardasil,7
MSNBC,marriage,1
safety,decrease,1
snub,snub,15
school,my,21
someone,someone,2
warts,some,25
rates,cervical,18
vaccination,panel,3
american,american,3
hate,need,6
news,just,27
cure,my,14
today,she,45
prostate,prostate,1
rise,day,1
despite,HPV_vaccine,37
project,project,2
last,health,5
kill,miss,1
new_blog,back,1
important,before,3
after,I,145
we,I_get,1
girl,understand,4
dose,medical,4
good,I,108
young,Health_Day,1
anal,ana_cancer,12
save,save,5
pussy,pussy,12
which,he,8
anyone,tell,4
during,during,2
up,Cervarix,1
FDA,2010,1
year,more,41
boy,issue,5
death,jab,3
mouth,mouth,2
dead,sad,3
shit,shit,12
tiny,tiny,1
yo,Gardasil,6
girl,Gardasil,203
Oprah,Oprah,1
sure,side,1
suck,suck,2
perry,incidence,1
sad,program,1
people,people,17
against,last,5
no,note,1
approval,approval,1
world,world,7
well,warts,5
receive,HPV_vaccine,206
vaccination,free,11
something,sure,3
you,week,24
gay,gay,4
study,girl,101
call,group,2
country,country,1
those,everyone,2
learn,learn,3
male,male,8
forward,week,3
year,know,17
protect_against,some,6
HPV,quite,7
arm,today,5
circumcision,such,1
circumcision,circumcision,39
mom,ever,2
carry,carry,1
she,just,70
study,2009,1
HPV_risk,HPV_risk,18
campaign,HPV,38
I_think,health,3
reason,get,40
still,sure,2
article,yearly,1
guess,cervical_cancer,15
likely,money,1
vaccination,March,1
you,count,2
warts,breast,4
back,blog,1
cervical_cancer,hour,18
think,go,8
down,down,10
Henrietta,Henrietta,1
vaccine_shot,let,1
vagina,vagina,9
yearly,jab,1
care,doctor,6
birth,birth,6
control,control,6
real,stuff,2
injection,raise,2
due,due,6
big,great,3
full,control,3
thanks,thanks,2
I,prevent,39
spread,spread,7
friend,research,2
blood,serious,3
gross,gross,1
who,symptoms,11
get,spread,20
student,student,1
blog,find,1
camcer,women,245
FDA_Panel,HPV_vaccine,28
Effective,Effective,11
same,during,1
HPV_DNA,HPV_DNA,6
risk,college,1
human,research,1
radiation,radiation,1
sick,sick,9
HPV_vaccine,I_am,14
I_am,FDA_Panel,2
someone,how,10
abnormal,now,1
story,system,2
love,Gardasil,11
detection,miss,3
know,HPV_shot,14
jab,death,8
final,Gardasil_shot,5
screen,screen,6
phone,phone,3
cervical_cancer,does,167
each,each,2
half,half,28
good,women,30
getting,HPV,23
end,get,11
Gardasil,researcher,56
MSNBC,MSNBC,2
jab,want,5
cervical_cancer,funny,11
approval,man,2
sue,sue,1
health,than,20
affect,affect,2
take,shit,7
totally,girl,1
against,still,21
painful,say,2
India,how,2
UK,new,6
Information,CDC,5
rates,researcher,2
pain,does,2
week,jab,2
among,there,2
before,she,16
pledge,pledge,1
complete,search,1
Tuesday,I_am,2
phone,doctor,2
around,put,1
must,daily,1
HPV_shot,side_effect,12
plan,plan,3
insurance,insurance,8
news,research,11
stage,your,4
why,good,13
give,condom,6
doctor,2009,9
yes,happen,1
well,well,10
why,against,54
ready,ready,2
FDA,well,2
news,genital,7
keep,keep,6
oropharyngeal,oropharyngeal,4
school,give,3
problem,problem,2
boy,tomorrow,4
apparently,throat,1
again,prevent,2
tweet,tweet,27
apparently,worst,1
now,against,34
more,protect_against,5
no,HPV_vaccine,190
who,I,91
hepatitis,hepatitis,6
only,think,8
Tuesday,Tuesday,1
community,community,2
HPV,report,55
present,all,1
Gardasil_shot,needle,2
know,exam,4
guy,many,1
safe,FDA,1
FDA,expert,2
help,up,8
Thursday,school,2
after,some,10
last,HPV_shot,95
show,show,5
main,HPV,10
I,back,73
come,help,6
I,go,261
strong,strong,2
research,prostate,3
likely,just,7
might,might,29
what,center,1
HPV_virus,live,3
girl,learn,6
daily,daily,2
Cervarix,online,15
cervical_cancer,man,203
take,take,6
protection,cervical_cancer,63
live,new,3
they,same,13
want,risk,6
out,against,41
over,latest,4
HPV_vaccine,issues,76
reduce,health,6
lead,lead,8
cervix,back,2
HSV,support,2
probably,end,1
my_arm,HPV_shot,37
annual,annual,8
not,Thursday,1
hope,start,1
your,spend,1
dumb,dumb,4
help,promote,15
back,back,5
girl,scary,3
out,more,131
when,tell,12
Fox,Fox,1
visit,back,2
vaccine,Tuesday,15
I,same,37
exam,exam,3
without,without,1
Roche,Roche,4
serious,reaction,1
how,reduce,24
must,man,3
under,prevent,6
6,6,5
boy,nothing,1
during,bad,1
tip,tip,4
myself,girl,1
young_woman,I,25
we,she,18
pink,pink,30
place,keep,1
early_detection,early_detection,3
these,people,17
case,why,3
pap,which,12
foundation,video,7
same,result,1
launch,launch,2
fuck,well,4
I,actually,49
cervical_cancer,look,47
deal,deal,2
pap,they,73
over,actually,2
Gardasil,Merck,80
lung,my,5
today,tomorrow,15
reason,encourage,1
like,dead,4
hear,hear,3
you,risk,165
please,run,1
week,new,9
India,more,3
I,well,49
Prevention,I_get,3
daily,human_papilloma,1
best,best,4
now,today,15
sound,sound,1
I_get,today,2
must,must,2
story,get,20
no,decision,4
US,people,7
kill,kill,1
pap,I_get,5
brain,brain,10
you,HIV,55
bad,blog,1
home,thank,1
government,government,3
sex,still,43
which,prevent,13
Gardasil,virus,6
today,what,33
back,hurt,2
provide,provide,20
booth,stop,1
education,cover,1
affect,genital,3
each,people,64
weigh,decision,1
free,available,14
drive,HP,56
join,join,4
HPV_shot,another,7
pap,way,17
death,article,3
routine,routine,3
show,money,5
pap,go,33
data,data,6
rates,spread,1
question,decision,2
evidence,evidence,5
why,health,30
impact,impact,4
vaccine,HPV_vaccine,262
June,6,1
girl,better,7
yo,yo,9
arm,now,7
science,approve,1
safety,trust,1
better,now,10
still,link,1
HPV,huge,9
recent,reason,1
cut,cut,3
thanks,I,56
son,get,26
issues,HPV_vaccine,57
HPV_shot,best,4
present,no,2
no,yearly,12
try,face,1
do_not,need,9
support,avatar,25
early,detection,13
prevent,breast,7
lower,lower,3
good,now,19
HPV_vaccine,safety,69
shirt,off,2
they,do,139
my,scare,9
wrong,wrong,9
know,sex,15
Cervarix,they,1
cancer,not,44
percent,percent,3
who,now,20
okay,okay,1
my,pretty,22
head,cervical_cancer,40
cancer_survival,cancer_survival,1
protect,protect,5
plan,access,3
rates,blood,1
hate,study,3
important,message,2
my,high,16
Gardasil,serious,12
why,do,103
method,method,1
cervical_cancer,possible,38
see,see,8
people,cervical_cancer,136
AIDS,AIDS,1
get,early,33
HPV_test,I,22
Lady,Gardasil,12
thing,I,82
which,I_think,2
think,think,7
how,cost,16
yes,yes,9
order,age,1
flu,get,14
pretty,college,2
act,act,1
HP,when,1
explain,HPV_vaccine,35
warts,out,11
India,2010,1
man,home,2
test,virus,49
pretty,not,10
March,March,2
my,claim,1
like,body,2
perry,perry,55
let,raw,2
young_woman,bad,1
story,story,9
interesting,need,2
pass,women,3
effect,family,1
bit,bit,3
wart,my,55
Gardasil_vaccine,watch,4
warts,needle,1
HPV,vaccine,606
daughter,now,10
morning,morning,3
HPV_vaccine,call,30
despite,despite,10
flu,2009,2
auction,cervical_cancer,37
pap,why,39
often,often,2
money,than,5
HPV,you,1090
percent,researcher,1
pap,forget,2
panel,Merck,4
gynecologist,gynecologist,1
girl,programme,5
troop,troop,1
thing,do_not,2
promote,out,5
happen,people,2
some,than,11
daily,panel,1
forward,forward,3
ready,does,2
chance,cervical_cancer,69
just,way,11
out,she,73
before,three,1
visit,important,1
special,special,1
like,come,12
chance,play,1
full,full,2
week,no,11
who,daughter,3
virus,social,1
answer,how,4
tomorrow,though,4
doctor,shot,5
know,common,22
do,how,48
service,service,1
doctor,know,16
why,they,58
prevent,better,7
young_woman,against,13
know,another,4
do,these,20
