Word,POS,Frequency,,,,,Frequency
donate,VBP,19,,82,,,101
Kenya,NNP,11,,33,57,,101
lung,NN,11,,90,,,101
Romney,NNP,101,,,,,101
far,RB,12,,88,,,100
jag,NN,54,,46,,,100
room,NN,14,,55,31,,100
spark,VB,70,,,,30,100
community,NN,17,,47,35,,99
game,NN,17,,39,43,,99
Goody,NNP,34,,65,,,99
lot,lot,,99,,,,99
mistake,NN,99,,,,,99
present,JJ,15,,45,39,,99
prevalence,NN,30,,,69,,99
sore,JJ,32,,67,,,99
chick,NN,20,,40,38,,98
June,NNP,11,,52,35,,98
move,NN,71,,,,27,98
programme,NN,20,,45,33,,98
remove,VB,18,,45,35,,98
stay,VB,58,,,40,,98
announce,VB,12,,49,36,,97
bout,NN,22,,75,,,97
Obamacare,NNP,39,,,58,,97
until,IN,20,,77,,,97
else,RB,24,,72,,,96
healthcare,NN,52,,,44,,96
huff,NN,22,,74,,,96
useless,useless,,96,,,,96
avoid,VB,16,,39,40,,95
everything,NN,17,,78,,,95
minority,minority,,95,,,,95
Political,JJ,95,,,,,95
Proof,NNP,13,,82,,,95
special,JJ,19,,45,31,,95
tv,NN,32,,63,,,95
nice,JJ,57,,,37,,94
thousand,CD,43,,,51,,94
action,NN,12,,45,36,,93
guardian,NN,93,,,,,93
interview,NN,15,,40,38,,93
katiecouric,Katie_Couric,,93,,,,93
Puff,puff,,93,,,,93
remain,VBP,39,,,54,,93
stuff,NN,23,,70,,,93
vote,NN,17,,76,,,93
Friday,NNP,16,,37,39,,92
Johnson,Johnson,,92,,,,92
Johnson,Johnson,,92,,,,92
minute,NN,37,,55,,,92
office,NN,23,,69,,,92
online,NNP,26,,32,34,,92
possible,JJ,24,,68,,,92
push,push,,92,,,,92
Social,NNP,19,,34,39,,92
totally,RB,21,,35,36,,92
Yahoo,NNP,92,,,,,92
contract,NN,23,,,68,,91
executive,JJ,91,,,,,91
College,NNP,12,,45,33,,90
damage,NN,48,,,42,,90
feature,NN,21,,32,37,,90
GSK,NNP,33,,,57,,90
meet,VBP,17,,47,,26,90
Might,NNP,90,,,,,90
other,JJ,90,,,,,90
race,NN,11,,79,,,90
replace,VB,22,,,,68,90
advocate,NN,16,,47,,26,89
